
Nr., CODE, ENDGÜLTIGE BEZEICHNUNGEN DER MEDIZINISCHEN LEISTUNGEN
3330,X646971,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ  ΣΤΕΦΑΝΙΑΙΑΣ  ΑΡΤΗΡΙΑΣ ΜΕ ΑΝΩΜΑΛΗ ΕΚΦΥΣΗ ΑΠΟ ΤΗΝ ΠΝΕΥΜΟΝΙΚΗ ΑΡΤΗΡΙΑ ΜΕ ΕΠΑΝΕΜΦΥΤΕΥΣΗ ΣΤΗΝ ΑΟΡΤΗ
3331,X646973,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΑΝΩΜΑΛΗΣ (Π.Χ. ΕΝΔΟΤΟΙΧΩΜΑΤΙΚΗΣ) ΑΟΡΤΙΚΗΣ ΕΚΦΥΣΗΣ ΤΗΣ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΜΕ ΑΠΟΚΑΛΥΨΗ Ή ΜΕΤΑΤΟΠΙΣΗ
3332,X646975,ΕΝΔΟΣΚΟΠΗΣΗ ΧΕΙΡΟΥΡΓΙΚΗ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΝΤΕΟ ΥΠΟΒΟΗΘΟΥΜΕΝΗΣ ΛΗΨΗΣ ΦΛΕΒΩΝ ΓΙΑ ΕΠΕΜΒΑΣΗ ΑΟΡΤΟΣΤΕΦΑΝΙΑΙΑΣ ΠΑΡΑΚΑΜΨΗΣ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΟΝ ΚΩΔΙΚΟ ΓΙΑ ΤΗ ΒΑΣΙΚΗ ΔΙΑΔΙΚΑΣΙΑ)
3333,X646979,ΠΑΡΑΚΑΜΨΗ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΜΟΝΟ ΦΛΕΒΑ ΕΝΑ ΦΛΕΒΙΚΟ ΜΟΣΧΕΥΜΑ ΣΤΕΦΑΝΙΑΙΑΣ
3334,X646981,ΠΑΡΑΚΑΜΨΗ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΜΟΝΟ ΦΛΕΒΑ. ΔΥΟ ΦΛΕΒΙΚΑ ΜΟΣΧΕΥΜΑΤΑ ΣΤΕΦΑΝΙΑΙΑΣ
3335,X646983,ΠΑΡΑΚΑΜΨΗ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΜΟΝΟ ΦΛΕΒΑ. ΤΡΙΑ ΦΛΕΒΙΚΑ ΜΟΣΧΕΥΜΑΤΑ ΣΤΕΦΑΝΙΑΙΑΣ
3336,X646985,ΠΑΡΑΚΑΜΨΗ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΜΟΝΟ ΦΛΕΒΑ. ΤΕΣΣΕΡΑ ΦΛΕΒΙΚΑ ΜΟΣΧΕΥΜΑΤΑ ΣΤΕΦΑΝΙΑΙΑΣ
3337,X646987,ΠΑΡΑΚΑΜΨΗ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΜΟΝΟ ΦΛΕΒΑ. ΠΕΝΤΕ ΦΛΕΒΙΚΑ ΜΟΣΧΕΥΜΑΤΑ ΣΤΕΦΑΝΙΑΙΑΣ
3338,X646991,ΠΑΡΑΚΑΜΨΗ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΜΟΝΟ ΦΛΕΒΑ. ΕΞΙ Ή ΠΕΡΙΣΣΟΤΕΡΑ ΦΛΕΒΙΚΑ ΜΟΣΧΕΥΜΑΤΑ ΣΤΕΦΑΝΙΑΙΑΣ
3339,X646993,ΠΑΡΑΚΑΜΨΗ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΜΕ ΤΗ ΧΡΗΣΗ ΦΛΕΒΙΚΩΝ ΚΑΙ ΑΡΤΗΡΙΑΚΩΝ ΜΟΣΧΕΥΜΑΤΩΝ ΕΝΑ ΦΛΕΒΙΚΟ ΜΟΣΧΕΥΜΑ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΟΝ ΚΩΔΙΚΟ ΓΙΑ ΤΗ ΒΑΣΙΚΗ ΔΙΑΔΙΚΑΣΙΑ)
3340,X646995,ΠΑΡΑΚΑΜΨΗ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΜΕ ΤΗ ΧΡΗΣΗ ΦΛΕΒΙΚΩΝ ΚΑΙ ΑΡΤΗΡΙΑΚΩΝ ΜΟΣΧΕΥΜΑΤΩΝ. ΔΥΟ ΦΛΕΒΙΚΑ ΜΟΣΧΕΥΜΑΤΑ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΟΝ ΚΩΔΙΚΟ ΓΙΑ ΤΗ ΒΑΣΙΚΗ ΔΙΑΔΙΚΑΣΙΑ)
3341,X646997,ΠΑΡΑΚΑΜΨΗ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΜΕ ΤΗ ΧΡΗΣΗ ΦΛΕΒΙΚΩΝ ΚΑΙ ΑΡΤΗΡΙΑΚΩΝ ΜΟΣΧΕΥΜΑΤΩΝ ΤΡΙΑ ΦΛΕΒΙΚΑ ΜΟΣΧΕΥΜΑΤΑ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΟΝ ΚΩΔΙΚΟ ΓΙΑ ΤΗ ΒΑΣΙΚΗ ΔΙΑΔΙΚΑΣΙΑ)
3342,X647001,ΠΑΡΑΚΑΜΨΗ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΜΕ ΤΗ ΧΡΗΣΗ ΦΛΕΒΙΚΩΝ ΚΑΙ ΑΡΤΗΡΙΑΚΩΝ ΜΟΣΧΕΥΜΑΤΩΝ ΤΕΣΣΕΡΑ ΦΛΕΒΙΚΑ ΜΟΣΧΕΥΜΑΤΑ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΟΝ ΚΩΔΙΚΟ ΓΙΑ ΤΗ ΒΑΣΙΚΗ ΔΙΑΔΙΚΑΣΙΑ)
3343,X647003,ΠΑΡΑΚΑΜΨΗ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΜΕ ΤΗ ΧΡΗΣΗ ΦΛΕΒΙΚΩΝ ΚΑΙ ΑΡΤΗΡΙΑΚΩΝ ΜΟΣΧΕΥΜΑΤΩΝ ΠΕΝΤΕ ΦΛΕΒΙΚΑ ΜΟΣΧΕΥΜΑΤΑ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΟΝ ΚΩΔΙΚΟ ΓΙΑ ΤΗ ΒΑΣΙΚΗ ΔΙΑΔΙΚΑΣΙΑ)
3344,X647005,ΠΑΡΑΚΑΜΨΗ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΜΕ ΤΗ ΧΡΗΣΗ ΦΛΕΒΙΚΩΝ ΚΑΙ ΑΡΤΗΡΙΑΚΩΝ ΜΟΣΧΕΥΜΑΤΩΝ. ΕΞΙ Ή ΠΕΡΙΣΣΟΤΕΡΑ ΦΛΕΒΙΚΑ ΜΟΣΧΕΥΜΑΤΑ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΟΝ ΚΩΔΙΚΟ ΓΙΑ ΤΗ ΒΑΣΙΚΗ ΕΠΕΜΒΑΣΗ)
3345,X647019,ΕΠΑΝΕΓΧΕΙΡΙΣΗ ΕΠΕΜΒΑΣΗ ΠΑΡΑΚΑΜΨΗΣ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ Ή ΕΠΕΜΒΑΣΗ ΒΑΛΒΙΔΑΣ ΠΑΝΩ ΑΠΟ ΕΝΑ ΜΗΝΑ ΜΕΤΑ ΑΠΟ ΤΗΝ ΑΡΧΙΚΗ ΧΕΙΡΟΥΡΓΙΚΗ ΕΠΕΜΒΑΣΗ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΟΝ  ΚΩΔΙΚΟ ΤΗΣ ΒΑΣΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)
3346,X647025,ΠΑΡΑΚΑΜΨΗ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΜΕ ΤΗ ΧΡΗΣΗ ΑΡΤΗΡΙΑΚΩΝ ΜΟΣΧΕΥΜΑΤΩΝ. ΕΝΑ ΑΡΤΗΡΙΑΚΟ ΜΟΣΧΕΥΜΑ
3347,X647027,ΠΑΡΑΚΑΜΨΗ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΜΕ ΤΗ ΧΡΗΣΗ ΑΡΤΗΡΙΑΚΩΝ ΜΟΣΧΕΥΜΑΤΩΝ. ΔΥΟ ΑΡΤΗΡΙΑΚΑ ΜΟΣΧΕΥΜΑΤΑ
3348,X647029,ΠΑΡΑΚΑΜΨΗ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΜΕ ΤΗ ΧΡΗΣΗ ΑΡΤΗΡΙΑΚΩΝ ΜΟΣΧΕΥΜΑΤΩΝ. ΤΡΙΑ ΑΡΤΗΡΙΑΚΑ ΜΟΣΧΕΥΜΑΤΑ
3349,X647031,ΠΑΡΑΚΑΜΨΗ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΜΕ ΤΗ ΧΡΗΣΗ ΑΡΤΗΡΙΑΚΩΝ ΜΟΣΧΕΥΜΑΤΩΝ. ΤΕΣΣΕΡΑ Ή ΠΕΡΙΣΣΟΤΕΡΑ  ΑΡΤΗΡΙΑΚΑ ΜΟΣΧΕΥΜΑΤΑ
3350,X647043,ΕΚΤΟΜΗ ΜΥΟΚΑΡΔΙΟΥ (Π.Χ. ΕΚΤΟΜΗ ΚΟΙΛΙΑΚΟΥ ΑΝΕΥΡΥΣΜΑΤΟΣ)
3351,X647049,ΑΠΟΚΑΤΑΣΤΑΣΗ ΜΕΤΕΜΦΡΑΚΤΙΚΟΥ ΕΛΛΕΙΜΑΤΟΣ ΜΕΣΟΚΟΙΛΙΑΚΟΥ ΔΙΑΦΡΑΓΜΑΤΙΚΟΥ ΜΕ Ή ΧΩΡΙΣ ΕΚΤΟΜΗ ΜΥΟΚΑΡΔΙΟΥ
3352,X647055,ΧΕΙΡΟΥΡΓΙΚΗ ΕΠΕΜΒΑΣΗ ΑΝΑΔΙΑΜΟΡΦΩΣΗΣ ΤΗΣ ΚΟΙΛΙΑΣ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΟΥ ΠΡΟΣΘΕΤΙΚΟΥ ῾ΜΠΑΛΩΜΑΤΟΣ῾ ΟΤΑΝ ΕΦΑΡΜΟΖΕΤΑΙ (Π.Χ. ΑΝΑΔΙΑΜΟΡΦΩΣΗ ΚΟΙΛΙΑΣ ΕΠΕΜΒΑΣΕΙΣ SVR SAVER DOR)
3353,X647103,ΣΤΕΦΑΝΙΑΙΑ ΕΝΔΑΡΤΗΡΙΕΚΤΟΜΗ ΑΝΟΙΧΤΗ ΚΑΘΕ ΜΕΘΟΔΟΣ ΑΡΙΣΤΕΡΟΥ ΠΡΟΣΘΙΟΥ ΚΑΤΙΟΝΤΑ ΠΕΡΙΣΠΩΜΕΝΗΣ ΑΡΤΗΡΙΑΣ Ή ΔΕΞΙΑΣ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΣΕ ΣΥΝΔΥΑΣΜΟ ΜΕ ΤΗ ΤΟΠΟΘΕΤΗΣΗ ΜΟΣΧΕΥΜΑΤΟΣ ΠΑΡΑΚΑΜΨΗΣ ΣΤΕΦΑΝΙΑΙΑΣ ΑΡΤΗΡΙΑΣ ΚΑΘΕ ΑΓΓΕΙΟ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΗ ΒΑΣΙΚΗ ΔΙΑΔΙΚΑΣΙΑ)
3354,X647159,ΣΥΓΚΛΕΙΣΗ ΚΟΛΠΟΚΟΙΛΙΑΚΗΣ ΒΑΛΒΙΔΑΣ (ΜΙΤΡΟΕΙΔΟΥΣ Ή ΤΡΙΓΛΩΧΙΝΑΣ) ΜΕ ΣΥΡΡΑΦΗ Ή ΜΠΑΛΩΜΑ
3355,X647163,ΣΥΓΚΛΕΙΣΗ ΜΗΝΟΕΙΔΟΥΣ ΒΑΛΒΙΔΑΣ (ΑΟΡΤΙΚΗΣ Ή ΠΝΕΥΜΟΝΙΚΗΣ) ΜΕ ΣΥΡΡΑΦΗ Ή ΜΠΑΛΩΜΑ
3356,X647171,ΑΝΑΣΤΟΜΩΣΗ ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ ΣΤΗΝ ΑΟΡΤΗ (ΔΙΑΔΙΚΑΣΙΑ DAMUS-KAYE-STANSEL)
3357,X647175,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΣΥΝΘΕΤΗΣ ΚΑΡΔΙΑΚΗΣ ΑΝΩΜΑΛΙΑΣ ΕΚΤΟΣ ΑΠΟ ΤΗΝ ΠΝΕΥΜΟΝΙΚΗ ΑΤΡΗΣΙΑ ΜΕ ΜΕΣΟΚΟΙΛΙΑΚΗ ΕΠΙΚΟΙΝΩΝΙΑ ΜΕ ΚΑΤΑΣΚΕΥΗ Ή ΑΝΤΙΚΑΤΑΣΤΑΣΗ ΣΩΛΗΝΩΤΟΥ ΜΟΣΧΕΥΜΑΤΟΣ ΑΠΟ ΤΗ ΔΕΞΙΑ Ή ΑΡΙΣΤΕΡΗ ΚΟΙΛΙΑ ΣΤΗΝ ΠΝΕΥΜΟΝΙΚΗ ΑΡΤΗΡΙΑ
3358,X647179,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΣΥΝΘΕΤΩΝ ΚΑΡΔΙΑΚΩΝ ΑΝΩΜΑΛΙΩΝ (Π.Χ. ΜΟΝΗ ΚΟΙΛΙΑ ΜΕ ΥΠΟΑΟΡΤΙΚΗ ΑΠΟΦΡΑΞΗ) ΜΕ ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΕΥΡΥΝΣΗ ΤΟΥ ΜΕΣΟΚΟΙΛΙΑΚΟΥ ΕΛΛΕΙΜΑΤΟΣ
3359,X647181,ΑΠΟΚΑΤΑΣΤΑΣΗ ΔΙΠΛΗΣ ΕΞΟΔΟΥ ΔΕΞΙΑΣ ΚΟΙΛΙΑΣ ΜΕ ΧΕΙΡΟΥΡΓΙΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΜΕΣΟΚΟΙΛΙΑΚΗΣ  ΣΗΡΑΓΓΑΣ.
3360,X647183,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΔΙΠΛΗΣ ΕΞΟΔΟΥ ΔΕΞΙΑΣ ΚΟΙΛΙΑΣ ΜΕ ΑΠΟΚΑΤΑΣΤΑΣΗ ΕΝΔΟΚΟΙΛΙΑΚΗΣ ΣΗΡΑΓΓΑΣ  ΜΕ ΑΠΟΚΑΤΑΣΤΑΣΗ ΤΗΣ ΑΠΟΦΡΑΞΗΣ ΤΟΥ ΧΩΡΟΥ ΕΚΡΟΗΣ ΤΗΣ ΔΕΞΙΑΣ ΚΟΙΛΙΑΣ
3361,X647189,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΣΥΝΘΕΤΩΝ ΚΑΡΔΙΑΚΩΝ ΑΝΩΜΑΛΙΩΝ (Π.Χ. ΑΤΡΗΣΙΑ ΤΡΙΓΛΩΧΙΝΟΣ) ΜΕ ΣΥΓΚΛΕΙΣΗ ΜΕΣΟΚΟΛΠΙΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ ΚΑΙ ΑΝΑΣΤΟΜΩΣΗ ΤΟΥ ΚΟΛΠΟΥ Ή ΤΗΣ ΚΟΙΛΗΣ ΦΛΕΒΑΣ ΣΤΗΝ ΠΝΕΥΜΟΝΙΚΗ ΑΡΤΗΡΙΑ (ΑΠΛΗ ΕΠΕΜΒΑΣΗ FONTAN)
3362,X647193,ΧΕΙΡΟΥΡΓΙΚΗ ΑΝΤΙΜΕΤΩΠΙΣΗ ΣΥΝΘΕΤΩΝ ΚΑΡΔΙΑΚΩΝ ΑΝΩΜΑΛΙΩΝ (Π.Χ. ΜΟΝΗΡΗΣ ΚΟΙΛΙΑ) ΜΕ ΤΡΟΠΟΠΟΙΗΜΕΝΗ ΕΠΕΜΒΑΣΗ FONTAN
3363,X647197,ΧΕΙΡΟΥΡΓΙΚΗ ΑΝΤΙΜΕΤΩΠΙΣΗ ΜΟΝΗΡΟΥΣ ΚΟΙΛΙΑΣ ΜΕ ΑΠΟΦΡΑΞΗ ΑΟΡΤΙΚΗΣ ΕΚΡΟΗΣ ΚΑΙ ΥΠΟΠΛΑΣΙΑΣ ΑΟΡΤΙΚΟΥ ΤΟΞΟΥ (ΣΥΝΔΡΟΜΟ ΥΠΟΠΛΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΗΣ ΚΟΙΛΙΑΣ) (Π.Χ. ΕΠΕΜΒΑΣΗ NORWOOD)
3364,X647241,ΧΕΙΡΟΥΡΓΙΚΗ ΣΥΓΚΛΕΙΣΗ ΔΕΥΤΕΡΟΓΕΝΟΥΣ ΜΕΣΟΚΟΛΠΙΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ ΜΕ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ ΜΕ Ή ΧΩΡΙΣ ΜΠΑΛΩΜΑ.
3365,X647249,ΑΜΕΣΗ ΣΥΓΚΛΕΙΣΗ Ή ΣΥΓΚΛΕΙΣΗ ΜΕ ΜΠΑΛΩΜΑ ΦΛΕΒΩΔΟΥΣ ΚΟΛΠΟΥ ΜΕ Ή ΧΩΡΙΣ ΑΝΩΜΑΛΗ ΕΠΙΣΤΡΟΦΗ ΠΝΕΥΜΟΝΙΚΩΝ ΦΛΕΒΩΝ
3366,X647253,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΜΕΣΟΚΟΛΠΙΚΗΣ Ή ΜΕΣΟΚΟΙΛΙΑΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ ΜΕ ΑΜΕΣΗ ΣΥΓΚΛΕΙΣΗ Ή ΜΕ ΜΠΑΛΩΜΑ.
3367,X647279,ΧΕΙΡΟΥΡΓΙΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΑΤΕΛΟΥΣ Ή ΜΕΡΙΚΟΥ ΚΟΛΠΟΚΟΙΛΙΑΚΟΥ ΚΑΝΑΛΙΟΥ (ΠΡΩΤΟΓΕΝΕΣ ΜΕΣΟΚΟΛΠΙΚΟ ΕΛΛΕΙΜΑ)  ΜΕ Ή ΧΩΡΙΣ ΑΠΟΚΑΤΑΣΤΑΣΗ ΚΟΛΠΟΚΟΙΛΙΑΚΗΣ ΒΑΛΒΙΔΑΣ
3368,X647289,ΧΕΙΡΟΥΡΓΙΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΜΕΡΙΚΟΥ Ή ΠΑΡΟΔΙΚΟΥ ΚΟΛΠΟΚΟΙΛΙΑΚΟΥ ΚΑΝΑΛΙΟΥ ΜΕ Ή  ΧΩΡΙΣ ΑΠΟΚΑΤΑΣΤΑΣΗ ΚΟΛΠΟΚΟΙΛΙΑΚΗΣ ΒΑΛΒΙΔΑΣ
3369,X647299,ΧΕΙΡΟΥΡΓΙΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΠΛΗΡΟΥΣ ΚΟΛΠΟΚΟΙΛΙΑΚΟΥ ΚΑΝΑΛΙΟΥ ΜΕ Ή ΧΩΡΙΣ ΠΡΟΣΘΕΤΙΚΗ ΒΑΛΒΙΔΑ
3370,X647309,ΧΕΙΡΟΥΡΓΙΚΗ ΣΥΓΚΛΕΙΣΗ ΠΟΛΛΑΠΛΩΝ ΜΕΣΟΚΟΙΛΑΙΚΩΝ  ΕΠΙΚΟΙΝΩΝΙΩΝ
3371,X647311,ΧΕΙΡΟΥΡΓΙΚΗ ΣΥΓΚΛΕΙΣΗ ΠΟΛΛΑΠΛΩΝ ΜΕΣΟΚΟΙΛΙΑΚΩΝ ΕΠΙΚΟΙΝΩΝΙΩΝ. ΜΕ ΠΝΕΥΜΟΝΙΚΗ ΒΑΛΒΙΔΟΤΟΜΗ  Ή ΕΚΤΟΜΗ ΧΟΑΝΗΣ ΤΗΣ ΔΕΞΙΑΣ ΚΟΙΛΙΑΣ (ΜΗ ΚΥΑΝΩΤΙΚΗ)
3372,X647313,ΧΕΙΡΟΥΡΓΙΚΗ ΣΥΓΚΛΕΙΣΗ ΠΟΛΛΑΠΛΩΝ ΜΕΣΟΚΟΙΛΙΑΚΩΝ ΕΠΙΚΟΙΝΩΝΙΩΝ  ΜΕ ΑΦΑΙΡΕΣΗ ΣΥΣΦΙΞΗΣ ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ ΜΕ Ή ΧΩΡΙΣ ΕΠΙΔΕΣΗ GUSSET
3373,X647321,ΧΕΙΡΟΥΡΓΙΚΗ ΣΥΓΚΛΕΙΣΗ ΜΟΝΗΡΟΥΣ ΜΕΣΟΚΟΙΛΙΑΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ ΜΕ Ή ΧΩΡΙΣ ΜΠΑΛΩΜΑ.
3374,X647327,ΧΕΙΡΟΥΡΓΙΚΗ ΣΥΓΚΛΕΙΣΗ ΜΟΝΗΡΟΥΣ ΜΕΣΟΚΟΙΛΙΑΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ ΜΕ Ή ΧΩΡΙΣ ΜΠΑΛΩΜΑ. ΜΕ ΠΝΕΥΜΟΝΙΚΗ ΒΑΛΒΙΔΟΤΟΜΗ Ή ΕΚΤΟΜΗ ΧΟΑΝΗΣ ΤΗΣ ΔΕΞΙΑΣ ΚΟΙΛΙΑΣ(ΜΗ ΚΥΑΝΩΤΙΚΗ)
3375,X647335,ΧΕΙΡΟΥΡΓΙΚΗ ΣΥΓΚΛΕΙΣΗ ΜΟΝΗΡΟΥΣ ΜΕΣΟΚΟΙΛΙΑΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ ΜΕ Ή ΧΩΡΙΣ ΜΠΑΛΩΜΑ. ΜΕ ΑΦΑΙΡΕΣΗ ΤΗΣ ΣΥΣΦΙΞΗΣ ΤΗΣ ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΗΡΙΑΣ ΜΕ Ή ΧΩΡΙΣ ΕΠΙΔΕΣΗ GUSSET
3376,X647339,ΠΕΡΙΟΡΙΣΜΕΝΗ ΣΥΣΦΙΞΗ (BANDING) ΤΗΣ ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ
3377,X647343,ΠΛΗΡΗΣ ΔΙΟΡΘΩΣΗ ΤΕΤΡΑΛΟΓΙΑΣ FALLOT ΧΩΡΙΣ ΠΝΕΥΜΟΝΙΚΗ ΑΤΡΗΣΙΑ.
3378,X647347,ΠΛΗΡΗΣ ΔΙΟΡΘΩΣΗ ΤΕΤΡΑΛΟΓΙΑΣ FALLOT ΜΕ ΠΝΕΥΜΟΝΙΚΗ ΑΤΡΗΣΙΑ ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΟΠΠΟΘΕΤΗΣΗ ΣΩΛΗΝΩΤΟΥ ΜΟΣΧΕΥΜΑΤΟΣ ΜΕΤΑΞΥ ΔΕΞΙΑΣ ΚΟΙΛΙΑΣ ΚΑΙ ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ ΚΑΙ ΣΥΓΚΛΕΙΣΗ ΜΕΣΟΚΟΙΛΙΑΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ
3379,X647353,ΠΛΗΡΗΣ ΔΙΟΡΘΩΣΗ ΤΕΤΡΑΛΟΓΙΑΣ  FALLOT ΜΕ ΠΝΕΥΜΟΝΙΚΗ ΑΤΡΗΣΙΑ ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΟΠΟΘΕΤΗΣΗ ΣΩΛΗΝΩΤΟΥ ΜΟΣΧΕΥΜΑΤΟΣ ΜΕΤΑΞΥ ΔΕΞΙΑΣ ΚΟΙΛΙΑΣ ΚΑΙ ΠΝΕΥΜΟΝΙΚΗΣ ΑΡΤΗΡΙΑΣ ΣΥΓΚΛΕΙΣΗ  ΜΕΣΟΚΟΙΛΙΑΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ
3380,X647363,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΣΥΡΙΓΓΙΟΥ ΤΟΥ ΚΟΛΠΟΥ ΤΟΥ VALSALVA ΜΕ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ.
3381,X647379,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΣΥΡΙΓΓΙΟΥ ΤΟΥ ΚΟΛΠΟΥ ΤΟΥ VALSALVA ΜΕ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ. ΜΕ ΣΥΓΚΛΕΙΣΗ ΜΕΣΟΚΟΙΛΙΑΚΗΣ  ΕΠΙΚΟΙΝΩΝΙΑΣ
3382,X647399,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΣΥΡΙΓΓΙΟΥ ΤΟΥ ΚΟΛΠΟΥ ΤΟΥ VALSALVA ΜΕ ΚΑΡΔΙΟΠΝΕΥΜΟΝΙΚΗ ΠΑΡΑΚΑΜΨΗ.
3383,X647403,ΣΥΓΚΛΕΙΣΗ ΣΩΛΗΝΩΤΟΥ ΜΟΣΧΕΥΜΑΤΟΣ ΜΕΤΑΞΥ ΑΟΡΤΗΣ ΚΑΙ ΑΡΙΣΤΕΡΗΣ ΚΟΙΛΙΑΣ
3384,X647407,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΜΕΜΟΝΩΜΕΝΗΣ ΜΕΡΙΚΗΣ ΑΝΩΜΑΛΗΣ ΕΚΒΟΛΗΣ ΠΝΕΥΜΟΝΙΚΩΝ ΦΛΕΒΩΝ (Π.Χ. ΣΥΝΔΡΟΜΟ ΓΙΑΤΑΓΑΝΙ)
3385,X647411,ΧΕΙΡΟΥΡΓΙΚΗ ΔΙΟΡΘΩΣΗ ΣΤΕΝΩΣΗΣ ΠΝΕΥΜΟΝΙΚΗΣ ΦΛΕΒΑΣ
