MDC (01-25),ΚΩΔΙΚΟΣ ΚΕΝ (όλοι οι ΑλφΑβητικί ΧΑρΑκτήρες θΑ πρέπει νΑ είνΑι στΑ ΕΛΛΗΝΙΚΑ),ΚΩΔΙΚΟΣ ICD-10 (όλοι οι αλβαβητικοί χαρακτήρες θα πρέπει να είναι στα Αγγλικά)
5.0,Κ37Μ,I10 
5.0,Κ37Μ,I11 
5.0,Κ37Μ,I12 
5.0,Κ37Μ,I13 
5.0,Κ37Μ,I15 
5.0,Κ37Μ,I50 
5.0,Κ37Χ,I11.9 
5.0,Κ37Χ,I12.9 
5.0,Κ37Χ,I15.0 
5.0,Κ37Χ,I15.1 
5.0,Κ37Χ,I15.2 
5.0,Κ37Χ,I15.8 
5.0,Κ37Χ,I15.9 
5.0,Κ37Χ,I48 
5.0,Κ37Χ,I10 
5.0,Κ37Χ,I11 
5.0,Κ37Χ,I12 
5.0,Κ37Χ,I13 
5.0,Κ37Χ,I15 
5.0,Κ37Χ,I42 
5.0,Κ37Χ,R53 
5.0,Κ39Μ,I05.0
5.0,Κ39Μ,I05.1
5.0,Κ39Μ,I05.2
5.0,Κ39Μ,I05.3
5.0,Κ39Μ,I05.4
5.0,Κ39Μ,I05.5
5.0,Κ39Μ,I05.6
5.0,Κ39Μ,I05.7
5.0,Κ39Μ,I05.8
5.0,Κ39Μ,I05.9
5.0,Κ39Μ,I06.0
5.0,Κ39Μ,I06.1
5.0,Κ39Μ,I06.2
5.0,Κ39Μ,I06.3
5.0,Κ39Μ,I06.4
5.0,Κ39Μ,I06.5
5.0,Κ39Μ,I06.6
5.0,Κ39Μ,I06.7
5.0,Κ39Μ,I06.8
5.0,Κ39Μ,I06.9
5.0,Κ39Μ,I07.0
5.0,Κ39Μ,I07.1
5.0,Κ39Μ,I07.2
5.0,Κ39Μ,I07.3
5.0,Κ39Μ,I07.4
5.0,Κ39Μ,I07.5
5.0,Κ39Μ,I07.6
5.0,Κ39Μ,I07.7
5.0,Κ39Μ,I07.8
5.0,Κ39Μ,I07.9
5.0,Κ39Μ,I08.0
5.0,Κ39Μ,I08.1
5.0,Κ39Μ,I08.2
5.0,Κ39Μ,I08.3
5.0,Κ39Μ,I08.4
5.0,Κ39Μ,I08.5
5.0,Κ39Μ,I08.6
5.0,Κ39Μ,I08.7
5.0,Κ39Μ,I08.8
5.0,Κ39Μ,I08.9
5.0,Κ39Μ,I20.0 
5.0,Κ39Μ,I20.9 
5.0,Κ39Μ,I23.4 
5.0,Κ39Μ,I23.5 
5.0,Κ39Μ,I23.8 
5.0,Κ39Μ,I24 
5.0,Κ39Μ,I24.0 
5.0,Κ39Μ,I24.8 
5.0,Κ39Μ,I24.9 
5.0,Κ39Μ,I25.8 
5.0,Κ39Μ,I21.0
5.0,Κ39Μ,I21.1
5.0,Κ39Μ,I21.2
5.0,Κ39Μ,I21.3
5.0,Κ39Μ,I21.4
5.0,Κ39Μ,I21.5
5.0,Κ39Μ,I21.6
5.0,Κ39Μ,I21.7
5.0,Κ39Μ,I21.8
5.0,Κ39Μ,I21.9
5.0,Κ39Μ,I22.0
5.0,Κ39Μ,I22.1
5.0,Κ39Μ,I22.2
5.0,Κ39Μ,I22.3
5.0,Κ39Μ,I22.4
5.0,Κ39Μ,I22.5
5.0,Κ39Μ,I22.6
5.0,Κ39Μ,I22.7
5.0,Κ39Μ,I22.8
5.0,Κ39Μ,I22.9
5.0,Κ39Μ,I24
5.0,Κ39Μ,I25.9 
5.0,Κ39Μ,I26.0 
5.0,Κ39Μ,I27.0 
5.0,Κ39Μ,I27.8 
5.0,Κ39Μ,I27.9 
5.0,Κ39Μ,I33.0 
5.0,Κ39Μ,I33.9 
5.0,Κ39Μ,I34.0
5.0,Κ39Μ,I34.1
5.0,Κ39Μ,I34.2
5.0,Κ39Μ,I34.3
5.0,Κ39Μ,I34.4
5.0,Κ39Μ,I34.5
5.0,Κ39Μ,I34.6
5.0,Κ39Μ,I34.7
5.0,Κ39Μ,I34.8
5.0,Κ39Μ,I34.9
5.0,Κ39Μ,I35.0
5.0,Κ39Μ,I35.1
5.0,Κ39Μ,I35.2
5.0,Κ39Μ,I35.3
5.0,Κ39Μ,I35.4
5.0,Κ39Μ,I35.5
5.0,Κ39Μ,I35.6
5.0,Κ39Μ,I35.7
5.0,Κ39Μ,I35.8
5.0,Κ39Μ,I35.9
5.0,Κ39Μ,I36.0
5.0,Κ39Μ,I36.1
5.0,Κ39Μ,I36.2
5.0,Κ39Μ,I36.3
5.0,Κ39Μ,I36.4
5.0,Κ39Μ,I36.5
5.0,Κ39Μ,I36.6
5.0,Κ39Μ,I36.7
5.0,Κ39Μ,I36.8
5.0,Κ39Μ,I36.9
5.0,Κ39Μ,B95
5.0,Κ39Μ,B96
5.0,Κ39Μ,B97
5.0,Κ39Μ,I50.0 
5.0,Κ39Μ,I50.1 
5.0,Κ39Μ,I50.9 
5.0,Κ39Μ,I46.0 
5.0,Κ39Μ,I51.1 
5.0,Κ39Μ,I51.2 
5.0,Κ39Μ,I05 
5.0,Κ39Μ,I06 
5.0,Κ39Μ,I07 
5.0,Κ39Μ,I08 
5.0,Κ39Μ,I20 
5.0,Κ39Μ,I23 
5.0,Κ39Μ,I24 
5.0,Κ39Μ,I25 
5.0,Κ39Μ,I26 
5.0,Κ39Μ,I27 
5.0,Κ39Μ,I33 
5.0,Κ39Μ,I38 
5.0,Κ39Μ,I34 
5.0,Κ39Μ,I35 
5.0,Κ39Μ,I36 
5.0,Κ39Μ,I37 
5.0,Κ39Μ,I50 
5.0,Κ39Μ,I46 
5.0,Κ39Μ,R55 
5.0,Κ39Μ,R57.0 
5.0,Κ39Μ,I51 
5.0,Κ39Χ,I05.0
5.0,Κ39Χ,I05.1
5.0,Κ39Χ,I05.2
5.0,Κ39Χ,I05.3
5.0,Κ39Χ,I05.4
5.0,Κ39Χ,I05.5
5.0,Κ39Χ,I05.6
5.0,Κ39Χ,I05.7
5.0,Κ39Χ,I05.8
5.0,Κ39Χ,I05.9
5.0,Κ39Χ,I06.0
5.0,Κ39Χ,I06.1
5.0,Κ39Χ,I06.2
5.0,Κ39Χ,I06.3
5.0,Κ39Χ,I06.4
5.0,Κ39Χ,I06.5
5.0,Κ39Χ,I06.6
5.0,Κ39Χ,I06.7
5.0,Κ39Χ,I06.8
5.0,Κ39Χ,I06.9
5.0,Κ39Χ,I07.0
5.0,Κ39Χ,I07.1
5.0,Κ39Χ,I07.2
5.0,Κ39Χ,I07.3
5.0,Κ39Χ,I07.4
5.0,Κ39Χ,I07.5
5.0,Κ39Χ,I07.6
5.0,Κ39Χ,I07.7
5.0,Κ39Χ,I07.8
5.0,Κ39Χ,I07.9
5.0,Κ39Χ,I08.0
5.0,Κ39Χ,I08.1
5.0,Κ39Χ,I08.2
5.0,Κ39Χ,I08.3
5.0,Κ39Χ,I08.4
5.0,Κ39Χ,I08.5
5.0,Κ39Χ,I08.6
5.0,Κ39Χ,I08.7
5.0,Κ39Χ,I08.8
5.0,Κ39Χ,I08.9
5.0,Κ39Χ,I20.0 
5.0,Κ39Χ,I20.9 
5.0,Κ39Χ,I24 
5.0,Κ39Χ,I24.0 
5.0,Κ39Χ,I24.8 
5.0,Κ39Χ,I24.9 
5.0,Κ39Χ,I25.8 
5.0,Κ39Χ,I21.0
5.0,Κ39Χ,I21.1
5.0,Κ39Χ,I21.2
5.0,Κ39Χ,I21.3
5.0,Κ39Χ,I21.4
5.0,Κ39Χ,I21.5
5.0,Κ39Χ,I21.6
5.0,Κ39Χ,I21.7
5.0,Κ39Χ,I21.8
5.0,Κ39Χ,I21.9
5.0,Κ39Χ,I22.0
5.0,Κ39Χ,I22.1
5.0,Κ39Χ,I22.2
5.0,Κ39Χ,I22.3
5.0,Κ39Χ,I22.4
5.0,Κ39Χ,I22.5
5.0,Κ39Χ,I22.6
5.0,Κ39Χ,I22.7
5.0,Κ39Χ,I22.8
5.0,Κ39Χ,I22.9
5.0,Κ39Χ,I24
5.0,Κ39Χ,I25.9 
5.0,Κ39Χ,I27.0 
5.0,Κ39Χ,I27.8 
5.0,Κ39Χ,I27.9 
5.0,Κ39Χ,I33.0 
5.0,Κ39Χ,I33.9 
5.0,Κ39Χ,B95
5.0,Κ39Χ,B96
5.0,Κ39Χ,B97
5.0,Κ39Χ,I34.0
5.0,Κ39Χ,I34.1
5.0,Κ39Χ,I34.2
5.0,Κ39Χ,I34.3
5.0,Κ39Χ,I34.4
5.0,Κ39Χ,I34.5
5.0,Κ39Χ,I34.6
5.0,Κ39Χ,I34.7
5.0,Κ39Χ,I34.8
5.0,Κ39Χ,I34.9
5.0,Κ39Χ,I35.0
5.0,Κ39Χ,I35.1
5.0,Κ39Χ,I35.2
5.0,Κ39Χ,I35.3
5.0,Κ39Χ,I35.4
5.0,Κ39Χ,I35.5
5.0,Κ39Χ,I35.6
5.0,Κ39Χ,I35.7
5.0,Κ39Χ,I35.8
5.0,Κ39Χ,I35.9
5.0,Κ39Χ,I36.0
5.0,Κ39Χ,I36.1
5.0,Κ39Χ,I36.2
5.0,Κ39Χ,I36.3
5.0,Κ39Χ,I36.4
5.0,Κ39Χ,I36.5
5.0,Κ39Χ,I36.6
5.0,Κ39Χ,I36.7
5.0,Κ39Χ,I36.8
5.0,Κ39Χ,I36.9
5.0,Κ39Χ,I05 
5.0,Κ39Χ,I06 
5.0,Κ39Χ,I07 
5.0,Κ39Χ,I08 
5.0,Κ39Χ,I20 
5.0,Κ39Χ,I24 
5.0,Κ39Χ,I25 
5.0,Κ39Χ,I27 
5.0,Κ39Χ,I33 
5.0,Κ39Χ,I38 
5.0,Κ39Χ,I34 
5.0,Κ39Χ,I35 
5.0,Κ39Χ,I36 
5.0,Κ39Χ,I37 
5.0,Κ42Μ,I20.0 
5.0,Κ42Μ,I20.1 
5.0,Κ42Μ,I20.8 
5.0,Κ42Μ,I20.9 
5.0,Κ42Μ,I24.0 
5.0,Κ42Μ,I24.8 
5.0,Κ42Μ,I24.9 
5.0,Κ42Μ,I25.5 
5.0,Κ42Μ,I25.6 
5.0,Κ42Μ,I48 
5.0,Κ42Μ,I46.0 
5.0,Κ42Μ,I49 
5.0,Κ42Μ,I49.0 
5.0,Κ42Μ,I49.5 
,Κ42Μ,I20 
,Κ42Μ,I24 
,Κ42Μ,I25 
,Κ42Μ,I46 
,Κ42Μ,R55 
,Κ42Μ,R57.0 
5.0,Κ42Χ,I20.0 
5.0,Κ42Χ,I20.1 
5.0,Κ42Χ,I20.8 
5.0,Κ42Χ,I20.9 
5.0,Κ42Χ,I24.0 
5.0,Κ42Χ,I24.8 
5.0,Κ42Χ,I24.9 
5.0,Κ42Χ,I25.5 
5.0,Κ42Χ,I25.6 
5.0,Κ42Χ,I48 
5.0,Κ42Χ,I20 
5.0,Κ42Χ,I24 
5.0,Κ42Χ,I25 
5.0,Κ44Α,I20 
5.0,Κ44Α,I21 
5.0,Κ44Α,I22 
5.0,Κ44Α,I23 
5.0,Κ44Α,I24 
5.0,Κ44Α,I25 
5.0,Κ44Α,I26 
5.0,Κ44Α,I27 
5.0,Κ44Α,I28 
5.0,Κ44Α,I30 
5.0,Κ44Α,I31 
5.0,Κ44Α,I33 
5.0,Κ44Α,I38 
5.0,Κ44Α,I40 
5.0,Κ44Α,I42 
5.0,Κ44Α,I50 
5.0,Κ44Α,I71 
5.0,Κ44Α,I34 
5.0,Κ44Α,I35 
5.0,Κ44Α,I36 
5.0,Κ44Α,I37 
5.0,Κ44Α,I05 
5.0,Κ44Α,I06 
5.0,Κ44Α,I07 
5.0,Κ44Α,I08 
5.0,Κ44Α,A01.0
5.0,Κ44Α,A18.8
5.0,Κ44Α,A36.8
5.0,Κ44Α,A39.5
5.0,Κ44Α,A50.0
5.0,Κ44Α,A50.5
5.0,Κ44Α,A52.0
5.0,Κ44Α,A53.0
5.0,Κ44Α,A54.8
5.0,Κ44Α,A67.2
5.0,Κ44Α,B26.8
5.0,Κ44Α,B37.6
5.0,Κ44Α,B57.0
5.0,Κ44Α,B57.2
5.0,Κ44Α,B58.8
5.0,Κ44Α,B65
5.0,Κ44Α,B85
5.0,Κ44Α,B872  
5.0,Κ44Α,B95
5.0,Κ44Α,B96
5.0,Κ44Α,B97
5.0,Κ44Α,D86.8
5.0,Κ44Α,E05.9
5.0,Κ44Α,E63.9
5.0,Κ44Α,E85
5.0,Κ44Α,I00 
5.0,Κ44Α,I01 
5.0,Κ44Α,I01.1
5.0,Κ44Α,I01.1 
5.0,Κ44Α,I01.1  
5.0,Κ44Α,I01.2
5.0,Κ44Α,I01.3
5.0,Κ44Α,I01.4
5.0,Κ44Α,I01.5
5.0,Κ44Α,I01.6
5.0,Κ44Α,I01.7
5.0,Κ44Α,I01.8
5.0,Κ44Α,I01.9
5.0,Κ44Α,I05 
5.0,Κ44Α,I05.0
5.0,Κ44Α,I05.0 
5.0,Κ44Α,I05.1
5.0,Κ44Α,I05.2
5.0,Κ44Α,I05.3
5.0,Κ44Α,I05.4
5.0,Κ44Α,I05.5
5.0,Κ44Α,I05.6
5.0,Κ44Α,I05.7
5.0,Κ44Α,I05.8
5.0,Κ44Α,I05.9
5.0,Κ44Α,I06 
5.0,Κ44Α,I06.0
5.0,Κ44Α,I06.1
5.0,Κ44Α,I06.2
5.0,Κ44Α,I06.3
5.0,Κ44Α,I06.4
5.0,Κ44Α,I06.5
5.0,Κ44Α,I06.6
5.0,Κ44Α,I06.7
5.0,Κ44Α,I06.8
5.0,Κ44Α,I06.9
5.0,Κ44Α,I07 
5.0,Κ44Α,I07.0
5.0,Κ44Α,I07.1
5.0,Κ44Α,I07.2
5.0,Κ44Α,I07.3
5.0,Κ44Α,I07.4
5.0,Κ44Α,I07.5
5.0,Κ44Α,I07.6
5.0,Κ44Α,I07.7
5.0,Κ44Α,I07.8
5.0,Κ44Α,I07.9
5.0,Κ44Α,I08 
5.0,Κ44Α,I08.0
5.0,Κ44Α,I08.1
5.0,Κ44Α,I08.2
5.0,Κ44Α,I08.3
5.0,Κ44Α,I08.4
5.0,Κ44Α,I08.5
5.0,Κ44Α,I08.6
5.0,Κ44Α,I08.7
5.0,Κ44Α,I08.8
5.0,Κ44Α,I08.9
5.0,Κ44Α,I09 
5.0,Κ44Α,I09.0
5.0,Κ44Α,I09.0 
5.0,Κ44Α,I09.1
5.0,Κ44Α,I09.1 
5.0,Κ44Α,I09.2
5.0,Κ44Α,I09.2 
5.0,Κ44Α,I09.3
5.0,Κ44Α,I09.4
5.0,Κ44Α,I09.5
5.0,Κ44Α,I09.6
5.0,Κ44Α,I09.7
5.0,Κ44Α,I09.8
5.0,Κ44Α,I09.8 
5.0,Κ44Α,I09.9
5.0,Κ44Α,I09.9 
5.0,Κ44Α,I10 
5.0,Κ44Α,I11 
5.0,Κ44Α,I11.0 
5.0,Κ44Α,I11.9 
5.0,Κ44Α,I12 
5.0,Κ44Α,I12.0 
5.0,Κ44Α,I12.9 
5.0,Κ44Α,I13 
5.0,Κ44Α,I13.0 
5.0,Κ44Α,I13.1 
5.0,Κ44Α,I13.2 
5.0,Κ44Α,I13.9 
5.0,Κ44Α,I15 
5.0,Κ44Α,I15.0 
5.0,Κ44Α,I15.1 
5.0,Κ44Α,I15.2 
5.0,Κ44Α,I15.8 
5.0,Κ44Α,I15.9 
5.0,Κ44Α,I20 
5.0,Κ44Α,I20.0
5.0,Κ44Α,I20.0 
5.0,Κ44Α,I20.1
5.0,Κ44Α,I20.1 
5.0,Κ44Α,I20.8 
5.0,Κ44Α,I20.9 
5.0,Κ44Α,I21
5.0,Κ44Α,I21 
5.0,Κ44Α,I21.0
5.0,Κ44Α,I21.0 
5.0,Κ44Α,I21.1
5.0,Κ44Α,I21.1 
5.0,Κ44Α,I21.2
5.0,Κ44Α,I21.2 
5.0,Κ44Α,I21.3
5.0,Κ44Α,I21.3 
5.0,Κ44Α,I21.4
5.0,Κ44Α,I21.4 
5.0,Κ44Α,I21.5
5.0,Κ44Α,I21.6
5.0,Κ44Α,I21.7
5.0,Κ44Α,I21.8
5.0,Κ44Α,I21.9
5.0,Κ44Α,I21.9 
5.0,Κ44Α,I22
5.0,Κ44Α,I22 
5.0,Κ44Α,I22.0
5.0,Κ44Α,I22.0 
5.0,Κ44Α,I22.1
5.0,Κ44Α,I22.1 
5.0,Κ44Α,I22.2
5.0,Κ44Α,I22.3
5.0,Κ44Α,I22.4
5.0,Κ44Α,I22.5
5.0,Κ44Α,I22.6
5.0,Κ44Α,I22.7
5.0,Κ44Α,I22.8
5.0,Κ44Α,I22.8 
5.0,Κ44Α,I22.9
5.0,Κ44Α,I22.9 
5.0,Κ44Α,I23
5.0,Κ44Α,I23 
5.0,Κ44Α,I23.0
5.0,Κ44Α,I23.0 
5.0,Κ44Α,I23.1
5.0,Κ44Α,I23.1 
5.0,Κ44Α,I23.2
5.0,Κ44Α,I23.2 
5.0,Κ44Α,I23.3
5.0,Κ44Α,I23.3 
5.0,Κ44Α,I23.4
5.0,Κ44Α,I23.4 
5.0,Κ44Α,I23.5
5.0,Κ44Α,I23.5 
5.0,Κ44Α,I23.6
5.0,Κ44Α,I23.6 
5.0,Κ44Α,I23.8
5.0,Κ44Α,I23.8 
5.0,Κ44Α,I24
5.0,Κ44Α,I24 
5.0,Κ44Α,I24.0 
5.0,Κ44Α,I24.1
5.0,Κ44Α,I24.1 
5.0,Κ44Α,I24.8
5.0,Κ44Α,I24.8 
5.0,Κ44Α,I24.9
5.0,Κ44Α,I24.9 
5.0,Κ44Α,I25 
5.0,Κ44Α,I25.0 
5.0,Κ44Α,I25.1 
5.0,Κ44Α,I25.2
5.0,Κ44Α,I25.3 
5.0,Κ44Α,I25.4 
5.0,Κ44Α,I25.5 
5.0,Κ44Α,I25.6 
5.0,Κ44Α,I25.8 
5.0,Κ44Α,I25.9 
5.0,Κ44Α,I26 
5.0,Κ44Α,I26.0 
5.0,Κ44Α,I26.9 
5.0,Κ44Α,I27 
5.0,Κ44Α,I27.0 
5.0,Κ44Α,I27.1 
5.0,Κ44Α,I27.8 
5.0,Κ44Α,I27.9 
5.0,Κ44Α,I28 
5.0,Κ44Α,I28.0 
5.0,Κ44Α,I28.1 
5.0,Κ44Α,I28.8 
5.0,Κ44Α,I28.9 
5.0,Κ44Α,I30 
5.0,Κ44Α,I31 
5.0,Κ44Α,I31.0 
5.0,Κ44Α,I31.1 
5.0,Κ44Α,I31.2 
5.0,Κ44Α,I31.3 
5.0,Κ44Α,I31.8 
5.0,Κ44Α,I31.9 
5.0,Κ44Α,I32* 
5.0,Κ44Α,I32.0* 
5.0,Κ44Α,I32.1* 
5.0,Κ44Α,I32.8* 
5.0,Κ44Α,I33 
5.0,Κ44Α,I33.0 
5.0,Κ44Α,I33.9 
5.0,Κ44Α,I34 
5.0,Κ44Α,I34.0
5.0,Κ44Α,I34.0 
5.0,Κ44Α,I34.1
5.0,Κ44Α,I34.2
5.0,Κ44Α,I34.2 
5.0,Κ44Α,I34.3
5.0,Κ44Α,I34.4
5.0,Κ44Α,I34.5
5.0,Κ44Α,I34.6
5.0,Κ44Α,I34.7
5.0,Κ44Α,I34.8
5.0,Κ44Α,I34.8 
5.0,Κ44Α,I34.9
5.0,Κ44Α,I34.9 
5.0,Κ44Α,I35 
5.0,Κ44Α,I35.0
5.0,Κ44Α,I35.0 
5.0,Κ44Α,I35.1
5.0,Κ44Α,I35.1 
5.0,Κ44Α,I35.2
5.0,Κ44Α,I35.3
5.0,Κ44Α,I35.4
5.0,Κ44Α,I35.5
5.0,Κ44Α,I35.6
5.0,Κ44Α,I35.7
5.0,Κ44Α,I35.8
5.0,Κ44Α,I35.8 
5.0,Κ44Α,I35.9
5.0,Κ44Α,I35.9 
5.0,Κ44Α,I36 
5.0,Κ44Α,I36.0
5.0,Κ44Α,I36.1
5.0,Κ44Α,I36.1 
5.0,Κ44Α,I36.2
5.0,Κ44Α,I36.3
5.0,Κ44Α,I36.4
5.0,Κ44Α,I36.5
5.0,Κ44Α,I36.6
5.0,Κ44Α,I36.7
5.0,Κ44Α,I36.8
5.0,Κ44Α,I36.8 
5.0,Κ44Α,I36.9
5.0,Κ44Α,I36.9 
5.0,Κ44Α,I37 
5.0,Κ44Α,I38 
5.0,Κ44Α,I39* 
5.0,Κ44Α,I39.0* 
5.0,Κ44Α,I39.1* 
5.0,Κ44Α,I39.2* 
5.0,Κ44Α,I39.3* 
5.0,Κ44Α,I39.4* 
5.0,Κ44Α,I39.8* 
5.0,Κ44Α,I40 
5.0,Κ44Α,I40.0
5.0,Κ44Α,I40.0 
5.0,Κ44Α,I40.1
5.0,Κ44Α,I40.1 
5.0,Κ44Α,I40.2
5.0,Κ44Α,I40.3
5.0,Κ44Α,I40.4
5.0,Κ44Α,I40.5
5.0,Κ44Α,I40.6
5.0,Κ44Α,I40.7
5.0,Κ44Α,I40.8
5.0,Κ44Α,I40.8 
5.0,Κ44Α,I40.9
5.0,Κ44Α,I40.9 
5.0,Κ44Α,I41* 
5.0,Κ44Α,I41.0* 
5.0,Κ44Α,I41.1* 
5.0,Κ44Α,I41.2* 
5.0,Κ44Α,I41.8* 
5.0,Κ44Α,I42 
5.0,Κ44Α,I42.0
5.0,Κ44Α,I42.0 
5.0,Κ44Α,I42.1
5.0,Κ44Α,I42.1 
5.0,Κ44Α,I42.2
5.0,Κ44Α,I42.2 
5.0,Κ44Α,I42.3
5.0,Κ44Α,I42.3 
5.0,Κ44Α,I42.4
5.0,Κ44Α,I42.4 
5.0,Κ44Α,I42.5
5.0,Κ44Α,I42.5 
5.0,Κ44Α,I42.6
5.0,Κ44Α,I42.6 
5.0,Κ44Α,I42.7
5.0,Κ44Α,I42.7 
5.0,Κ44Α,I42.8
5.0,Κ44Α,I42.8 
5.0,Κ44Α,I42.9
5.0,Κ44Α,I42.9 
5.0,Κ44Α,I43* 
5.0,Κ44Α,I43.0* 
5.0,Κ44Α,I43.1* 
5.0,Κ44Α,I43.2* 
5.0,Κ44Α,I43.8* 
5.0,Κ44Α,I46
5.0,Κ44Α,I46 
5.0,Κ44Α,I46.0
5.0,Κ44Α,I46.0 
5.0,Κ44Α,I48
5.0,Κ44Α,I48 
5.0,Κ44Α,I49
5.0,Κ44Α,I49 
5.0,Κ44Α,I49.0
5.0,Κ44Α,I49.0 
5.0,Κ44Α,I49.1
5.0,Κ44Α,I49.2
5.0,Κ44Α,I49.3
5.0,Κ44Α,I49.4
5.0,Κ44Α,I49.5
5.0,Κ44Α,I49.5 
5.0,Κ44Α,I49.8
5.0,Κ44Α,I49.9
5.0,Κ44Α,I50
5.0,Κ44Α,I50 
5.0,Κ44Α,I50.0
5.0,Κ44Α,I50.0 
5.0,Κ44Α,I50.1
5.0,Κ44Α,I50.1 
5.0,Κ44Α,I50.2
5.0,Κ44Α,I50.3
5.0,Κ44Α,I50.4
5.0,Κ44Α,I50.5
5.0,Κ44Α,I50.6
5.0,Κ44Α,I50.7
5.0,Κ44Α,I50.8
5.0,Κ44Α,I50.9
5.0,Κ44Α,I50.9 
5.0,Κ44Α,I51 
5.0,Κ44Α,I51.0
5.0,Κ44Α,I51.0 
5.0,Κ44Α,I51.1
5.0,Κ44Α,I51.1 
5.0,Κ44Α,I51.2
5.0,Κ44Α,I51.2 
5.0,Κ44Α,I51.3
5.0,Κ44Α,I51.3 
5.0,Κ44Α,I51.4
5.0,Κ44Α,I51.4 
5.0,Κ44Α,I51.5
5.0,Κ44Α,I51.5 
5.0,Κ44Α,I51.6
5.0,Κ44Α,I51.6 
5.0,Κ44Α,I51.7
5.0,Κ44Α,I51.7 
5.0,Κ44Α,I51.8
5.0,Κ44Α,I51.8 
5.0,Κ44Α,I51.9
5.0,Κ44Α,I51.9 
5.0,Κ44Α,I52* 
5.0,Κ44Α,I52.0* 
5.0,Κ44Α,I52.1* 
5.0,Κ44Α,I52.8* 
5.0,Κ44Α,I71 
5.0,Κ44Α,I71.0 
5.0,Κ44Α,I71.1 
5.0,Κ44Α,I71.5 
5.0,Κ44Α,I71.8 
5.0,Κ44Α,I97 
5.0,Κ44Α,I97.0 
5.0,Κ44Α,I97.1 
5.0,Κ44Α,I97.8 
5.0,Κ44Α,I97.9 
5.0,Κ44Α,I98* 
5.0,Κ44Α,I98.0* 
5.0,Κ44Α,I98.1* 
5.0,Κ44Α,I98.8* 
5.0,Κ44Α,I98.9 
5.0,Κ44Α,I99 
5.0,Κ44Α,J10.8
5.0,Κ44Α,J11.8
5.0,Κ44Α,K44A
5.0,Κ44Α,M05.3
5.0,Κ44Α,M32.1
5.0,Κ44Α,N18.8
5.0,Κ44Α,R53 
5.0,Κ44Α,R55
5.0,Κ44Α,R55 
5.0,Κ44Α,R57
5.0,Κ44Α,R57.0 
5.0,Κ44Α,T82 
5.0,Κ44Α,T82.0
5.0,Κ44Α,T82.1
5.0,Κ44Α,T82.2
5.0,Κ44Α,T82.3
5.0,Κ44Α,T82.4
5.0,Κ44Α,T82.5
5.0,Κ44Α,T82.6
5.0,Κ44Α,T82.7
5.0,Κ44Α,T82.8
5.0,Κ44Α,T82.9
5.0,Κ44Α,T86 
5.0,Κ44Α,T86  
5.0,Κ44Α,T86.2 
5.0,Κ44Α,T86.3 
5.0,Κ44Α,Z94 
5.0,Κ44Α,Z94.1 
5.0,Κ45Μα,I09.0 
5.0,Κ45Μα,I09.1 
5.0,Κ45Μα,I09.2 
5.0,Κ45Μα,I09.8 
5.0,Κ45Μα,I09.9 
5.0,Κ45Μα,I24.8 
5.0,Κ45Μα,I24.9 
5.0,Κ45Μα,I25.0 
5.0,Κ45Μα,I25.1 
5.0,Κ45Μα,I25.2
5.0,Κ45Μα,I25.3 
5.0,Κ45Μα,I25.4 
5.0,Κ45Μα,I25.8 
5.0,Κ45Μα,I21.0
5.0,Κ45Μα,I21.1
5.0,Κ45Μα,I21.2
5.0,Κ45Μα,I21.3
5.0,Κ45Μα,I21.4
5.0,Κ45Μα,I21.5
5.0,Κ45Μα,I21.6
5.0,Κ45Μα,I21.7
5.0,Κ45Μα,I21.8
5.0,Κ45Μα,I21.9
5.0,Κ45Μα,I22.0
5.0,Κ45Μα,I22.1
5.0,Κ45Μα,I22.2
5.0,Κ45Μα,I22.3
5.0,Κ45Μα,I22.4
5.0,Κ45Μα,I22.5
5.0,Κ45Μα,I22.6
5.0,Κ45Μα,I22.7
5.0,Κ45Μα,I22.8
5.0,Κ45Μα,I22.9
5.0,Κ45Μα,I24
5.0,Κ45Μα,I25.9 
5.0,Κ45Μα,I27.1 
5.0,Κ45Μα,I27.8 
5.0,Κ45Μα,I27.9 
5.0,Κ45Μα,I28.0 
5.0,Κ45Μα,I28.1 
5.0,Κ45Μα,I28.8 
5.0,Κ45Μα,I28.9 
5.0,Κ45Μα,I31.2 
5.0,Κ45Μα,I31.3 
5.0,Κ45Μα,B872  
5.0,Κ45Μα,I31.8 
5.0,Κ45Μα,I31.9 
5.0,Κ45Μα,I32.0* 
5.0,Κ45Μα,A54.8
5.0,Κ45Μα,A39.5
5.0,Κ45Μα,A52.0
5.0,Κ45Μα,A18.8
5.0,Κ45Μα,I32.1* 
5.0,Κ45Μα,I32.8* 
5.0,Κ45Μα,M05.3
5.0,Κ45Μα,M32.1
5.0,Κ45Μα,N18.8
5.0,Κ45Μα,I39.0* 
5.0,Κ45Μα,I39.1* 
5.0,Κ45Μα,I39.2* 
5.0,Κ45Μα,I39.3* 
5.0,Κ45Μα,I39.4* 
5.0,Κ45Μα,I39.8* 
5.0,Κ45Μα,I41.0* 
5.0,Κ45Μα,I41.1* 
5.0,Κ45Μα,I41.2* 
5.0,Κ45Μα,I41.8* 
5.0,Κ45Μα,I43.0* 
5.0,Κ45Μα,I43.1* 
5.0,Κ45Μα,I43.2* 
5.0,Κ45Μα,I43.8* 
5.0,Κ45Μα,A36.8
