+----------------------------------------------------+------------+------------+------------+--------------+-------------+
| department                                         | shift_date | shift_type | staff_type | sub_category | staff_count |
| Ογκολογική Κλινική                                 | 2025-01-15 | Morning    | admin      | Logistics    |           1 |
| Ογκολογική Κλινική                                 | 2025-01-15 | Morning    | nurse      | Nurse        |           1 |
| Ογκολογική Κλινική                                 | 2025-01-15 | Night      | admin      | Receptionist |           2 |
| Ογκολογική Κλινική                                 | 2025-01-15 | Night      | nurse      | Assistant    |           6 |
| Ογκολογική Κλινική                                 | 2025-01-15 | Night      | nurse      | Nurse        |           3 |
| Ορθοπεδική Κλινική                                 | 2025-01-15 | Afternoon  | admin      | Accountant   |           2 |
| Ορθοπεδική Κλινική                                 | 2025-01-15 | Afternoon  | admin      | Secretary    |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-15 | Afternoon  | nurse      | Assistant    |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-15 | Afternoon  | nurse      | Nurse        |           5 |
| Ορθοπεδική Κλινική                                 | 2025-01-15 | Morning    | admin      | Accountant   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-15 | Morning    | admin      | HR Officer   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-15 | Morning    | admin      | Receptionist |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-15 | Morning    | nurse      | Assistant    |           2 |
| Ορθοπεδική Κλινική                                 | 2025-01-15 | Morning    | nurse      | Nurse        |           4 |
| Ορθοπεδική Κλινική                                 | 2025-01-15 | Night      | admin      | Logistics    |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-15 | Night      | admin      | Receptionist |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-15 | Night      | admin      | Secretary    |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-15 | Night      | nurse      | Assistant    |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-15 | Night      | nurse      | Head_Nurse   |           2 |
| Ορθοπεδική Κλινική                                 | 2025-01-15 | Night      | nurse      | Nurse        |           4 |
| Ουρολογική Κλινική                                 | 2025-01-15 | Afternoon  | admin      | Accountant   |           1 |
| Ουρολογική Κλινική                                 | 2025-01-15 | Afternoon  | admin      | Logistics    |           1 |
| Ουρολογική Κλινική                                 | 2025-01-15 | Afternoon  | admin      | Receptionist |           1 |
| Ουρολογική Κλινική                                 | 2025-01-15 | Night      | admin      | HR Officer   |           1 |
| Ουρολογική Κλινική                                 | 2025-01-15 | Night      | admin      | IT Support   |           1 |
| Παθολογική Κλινική                                 | 2025-01-15 | Afternoon  | admin      | Accountant   |           2 |
| Παθολογική Κλινική                                 | 2025-01-15 | Afternoon  | admin      | Logistics    |           1 |
| Παθολογική Κλινική                                 | 2025-01-15 | Afternoon  | nurse      | Assistant    |           2 |
| Παθολογική Κλινική                                 | 2025-01-15 | Afternoon  | nurse      | Nurse        |           5 |
| Παθολογική Κλινική                                 | 2025-01-15 | Morning    | admin      | HR Officer   |           1 |
| Παθολογική Κλινική                                 | 2025-01-15 | Morning    | admin      | IT Support   |           1 |
| Παθολογική Κλινική                                 | 2025-01-15 | Morning    | nurse      | Assistant    |           2 |
| Παθολογική Κλινική                                 | 2025-01-15 | Morning    | nurse      | Head_Nurse   |           1 |
| Παθολογική Κλινική                                 | 2025-01-15 | Morning    | nurse      | Nurse        |           4 |
| Παθολογική Κλινική                                 | 2025-01-15 | Night      | admin      | HR Officer   |           1 |
| Παθολογική Κλινική                                 | 2025-01-15 | Night      | admin      | Logistics    |           1 |
| Παθολογική Κλινική                                 | 2025-01-15 | Night      | nurse      | Assistant    |           2 |
| Παθολογική Κλινική                                 | 2025-01-15 | Night      | nurse      | Nurse        |           5 |
| Παιδιατρική Κλινική                                | 2025-01-15 | Afternoon  | admin      | Accountant   |           1 |
| Παιδιατρική Κλινική                                | 2025-01-15 | Afternoon  | admin      | HR Officer   |           1 |
| Παιδιατρική Κλινική                                | 2025-01-15 | Night      | admin      | Accountant   |           1 |
| Παιδιατρική Κλινική                                | 2025-01-15 | Night      | admin      | IT Support   |           1 |
| Παιδιατρική Κλινική                                | 2025-01-15 | Night      | admin      | Receptionist |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-15 | Afternoon  | admin      | IT Support   |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-15 | Afternoon  | admin      | Secretary    |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-15 | Night      | admin      | IT Support   |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-15 | Night      | admin      | Logistics    |           2 |
| Πνευμονολογική Κλινική                             | 2025-01-15 | Night      | nurse      | Nurse        |           2 |
| Χειρουργική Κλινική                                | 2025-01-15 | Afternoon  | admin      | Accountant   |           1 |
| Χειρουργική Κλινική                                | 2025-01-15 | Afternoon  | admin      | HR Officer   |           2 |
| Χειρουργική Κλινική                                | 2025-01-15 | Afternoon  | nurse      | Assistant    |           2 |
| Χειρουργική Κλινική                                | 2025-01-15 | Afternoon  | nurse      | Head_Nurse   |           2 |
| Χειρουργική Κλινική                                | 2025-01-15 | Afternoon  | nurse      | Nurse        |           3 |
| Χειρουργική Κλινική                                | 2025-01-15 | Morning    | admin      | HR Officer   |           1 |
| Χειρουργική Κλινική                                | 2025-01-15 | Morning    | admin      | Logistics    |           1 |
| Χειρουργική Κλινική                                | 2025-01-15 | Morning    | admin      | Receptionist |           1 |
| Χειρουργική Κλινική                                | 2025-01-15 | Morning    | nurse      | Assistant    |           3 |
| Χειρουργική Κλινική                                | 2025-01-15 | Morning    | nurse      | Head_Nurse   |           1 |
| Χειρουργική Κλινική                                | 2025-01-15 | Morning    | nurse      | Nurse        |           3 |
| Χειρουργική Κλινική                                | 2025-01-15 | Night      | admin      | IT Support   |           1 |
| Χειρουργική Κλινική                                | 2025-01-15 | Night      | admin      | Logistics    |           1 |
| Χειρουργική Κλινική                                | 2025-01-15 | Night      | nurse      | Assistant    |           2 |
| Χειρουργική Κλινική                                | 2025-01-15 | Night      | nurse      | Head_Nurse   |           1 |
| Χειρουργική Κλινική                                | 2025-01-15 | Night      | nurse      | Nurse        |           5 |
| Ψυχιατρική Κλινική                                 | 2025-01-15 | Afternoon  | admin      | IT Support   |           1 |
| Ψυχιατρική Κλινική                                 | 2025-01-15 | Night      | admin      | HR Officer   |           2 |
| Γαστρεντερολογική Κλινική                          | 2025-01-16 | Afternoon  | admin      | HR Officer   |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-16 | Afternoon  | admin      | IT Support   |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-16 | Afternoon  | admin      | Logistics    |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-16 | Night      | admin      | Logistics    |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-16 | Night      | admin      | Receptionist |           1 |
| Γυναικολογική Κλινική                              | 2025-01-16 | Afternoon  | admin      | Receptionist |           1 |
| Γυναικολογική Κλινική                              | 2025-01-16 | Night      | admin      | HR Officer   |           1 |
| Γυναικολογική Κλινική                              | 2025-01-16 | Night      | admin      | Receptionist |           1 |
| Καρδιολογική Κλινική                               | 2025-01-16 | Afternoon  | admin      | HR Officer   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-16 | Afternoon  | admin      | Receptionist |           2 |
| Καρδιολογική Κλινική                               | 2025-01-16 | Afternoon  | nurse      | Assistant    |           3 |
| Καρδιολογική Κλινική                               | 2025-01-16 | Afternoon  | nurse      | Nurse        |           6 |
| Καρδιολογική Κλινική                               | 2025-01-16 | Morning    | admin      | IT Support   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-16 | Morning    | admin      | Logistics    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-16 | Morning    | nurse      | Head_Nurse   |           2 |
| Καρδιολογική Κλινική                               | 2025-01-16 | Morning    | nurse      | Nurse        |           4 |
| Καρδιολογική Κλινική                               | 2025-01-16 | Night      | admin      | IT Support   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-16 | Night      | admin      | Secretary    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-16 | Night      | nurse      | Assistant    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-16 | Night      | nurse      | Head_Nurse   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-16 | Night      | nurse      | Nurse        |           6 |
| Νευρολογική Κλινική                                | 2025-01-16 | Afternoon  | admin      | Accountant   |           1 |
| Νευρολογική Κλινική                                | 2025-01-16 | Afternoon  | admin      | Logistics    |           1 |
| Νευρολογική Κλινική                                | 2025-01-16 | Afternoon  | admin      | Secretary    |           1 |
| Νευρολογική Κλινική                                | 2025-01-16 | Morning    | admin      | HR Officer   |           1 |
| Νευρολογική Κλινική                                | 2025-01-16 | Morning    | admin      | Receptionist |           1 |
| Νευρολογική Κλινική                                | 2025-01-16 | Night      | admin      | Accountant   |           1 |
| Νευρολογική Κλινική                                | 2025-01-16 | Night      | admin      | Logistics    |           1 |
| Νεφρολογική Κλινική                                | 2025-01-16 | Afternoon  | admin      | Accountant   |           1 |
| Νεφρολογική Κλινική                                | 2025-01-16 | Afternoon  | admin      | IT Support   |           1 |
| Νεφρολογική Κλινική                                | 2025-01-16 | Night      | admin      | HR Officer   |           1 |
| Νεφρολογική Κλινική                                | 2025-01-16 | Night      | admin      | IT Support   |           1 |
| Νεφρολογική Κλινική                                | 2025-01-16 | Night      | admin      | Receptionist |           1 |
| Ογκολογική Κλινική                                 | 2025-01-16 | Afternoon  | admin      | HR Officer   |           2 |
| Ογκολογική Κλινική                                 | 2025-01-16 | Morning    | admin      | HR Officer   |           1 |
| Ογκολογική Κλινική                                 | 2025-01-16 | Morning    | admin      | Secretary    |           1 |
| Ογκολογική Κλινική                                 | 2025-01-16 | Night      | admin      | Accountant   |           1 |
| Ογκολογική Κλινική                                 | 2025-01-16 | Night      | admin      | HR Officer   |           1 |
| Ογκολογική Κλινική                                 | 2025-01-16 | Night      | admin      | Logistics    |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-16 | Afternoon  | admin      | Accountant   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-16 | Afternoon  | admin      | Logistics    |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-16 | Afternoon  | admin      | Secretary    |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-16 | Morning    | admin      | Accountant   |           2 |
| Ορθοπεδική Κλινική                                 | 2025-01-16 | Morning    | admin      | Receptionist |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-16 | Night      | admin      | HR Officer   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-16 | Night      | admin      | Logistics    |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-16 | Night      | admin      | Receptionist |           1 |
| Ουρολογική Κλινική                                 | 2025-01-16 | Afternoon  | admin      | Accountant   |           1 |
| Ουρολογική Κλινική                                 | 2025-01-16 | Afternoon  | admin      | Receptionist |           1 |
| Ουρολογική Κλινική                                 | 2025-01-16 | Night      | admin      | Accountant   |           1 |
| Ουρολογική Κλινική                                 | 2025-01-16 | Night      | admin      | Receptionist |           1 |
| Ουρολογική Κλινική                                 | 2025-01-16 | Night      | admin      | Secretary    |           1 |
| Παθολογική Κλινική                                 | 2025-01-16 | Afternoon  | admin      | Accountant   |           1 |
| Παθολογική Κλινική                                 | 2025-01-16 | Afternoon  | admin      | HR Officer   |           1 |
| Παθολογική Κλινική                                 | 2025-01-16 | Afternoon  | admin      | IT Support   |           1 |
| Παθολογική Κλινική                                 | 2025-01-16 | Afternoon  | nurse      | Assistant    |           1 |
| Παθολογική Κλινική                                 | 2025-01-16 | Afternoon  | nurse      | Head_Nurse   |           1 |
| Παθολογική Κλινική                                 | 2025-01-16 | Afternoon  | nurse      | Nurse        |           6 |
| Παθολογική Κλινική                                 | 2025-01-16 | Morning    | admin      | HR Officer   |           1 |
| Παθολογική Κλινική                                 | 2025-01-16 | Morning    | admin      | Logistics    |           2 |
| Παθολογική Κλινική                                 | 2025-01-16 | Morning    | nurse      | Nurse        |           1 |
| Παθολογική Κλινική                                 | 2025-01-16 | Night      | admin      | Accountant   |           2 |
| Παθολογική Κλινική                                 | 2025-01-16 | Night      | admin      | Logistics    |           1 |
| Παθολογική Κλινική                                 | 2025-01-16 | Night      | nurse      | Assistant    |           2 |
| Παθολογική Κλινική                                 | 2025-01-16 | Night      | nurse      | Head_Nurse   |           1 |
| Παθολογική Κλινική                                 | 2025-01-16 | Night      | nurse      | Nurse        |           3 |
| Παιδιατρική Κλινική                                | 2025-01-16 | Night      | admin      | IT Support   |           2 |
| Παιδιατρική Κλινική                                | 2025-01-16 | Night      | admin      | Receptionist |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-16 | Afternoon  | admin      | HR Officer   |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-16 | Afternoon  | admin      | IT Support   |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-16 | Afternoon  | admin      | Logistics    |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-16 | Morning    | admin      | IT Support   |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-16 | Morning    | admin      | Logistics    |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-16 | Morning    | admin      | Receptionist |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-16 | Night      | admin      | Logistics    |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-16 | Night      | admin      | Receptionist |           1 |
| Χειρουργική Κλινική                                | 2025-01-16 | Afternoon  | admin      | Accountant   |           1 |
| Χειρουργική Κλινική                                | 2025-01-16 | Afternoon  | admin      | HR Officer   |           1 |
| Χειρουργική Κλινική                                | 2025-01-16 | Afternoon  | nurse      | Assistant    |           3 |
| Χειρουργική Κλινική                                | 2025-01-16 | Afternoon  | nurse      | Head_Nurse   |           1 |
| Χειρουργική Κλινική                                | 2025-01-16 | Afternoon  | nurse      | Nurse        |           5 |
| Χειρουργική Κλινική                                | 2025-01-16 | Morning    | admin      | Accountant   |           1 |
| Χειρουργική Κλινική                                | 2025-01-16 | Morning    | admin      | Receptionist |           1 |
| Χειρουργική Κλινική                                | 2025-01-16 | Morning    | nurse      | Assistant    |           2 |
| Χειρουργική Κλινική                                | 2025-01-16 | Morning    | nurse      | Head_Nurse   |           1 |
| Χειρουργική Κλινική                                | 2025-01-16 | Morning    | nurse      | Nurse        |           5 |
| Χειρουργική Κλινική                                | 2025-01-16 | Night      | admin      | HR Officer   |           1 |
| Χειρουργική Κλινική                                | 2025-01-16 | Night      | admin      | Receptionist |           1 |
| Χειρουργική Κλινική                                | 2025-01-16 | Night      | nurse      | Assistant    |           2 |
| Χειρουργική Κλινική                                | 2025-01-16 | Night      | nurse      | Nurse        |           5 |
| Ψυχιατρική Κλινική                                 | 2025-01-16 | Night      | admin      | Accountant   |           1 |
| Ψυχιατρική Κλινική                                 | 2025-01-16 | Night      | admin      | HR Officer   |           1 |
| Ψυχιατρική Κλινική                                 | 2025-01-16 | Night      | admin      | Logistics    |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-17 | Afternoon  | admin      | Accountant   |           2 |
| Γαστρεντερολογική Κλινική                          | 2025-01-17 | Afternoon  | admin      | IT Support   |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-17 | Morning    | admin      | IT Support   |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-17 | Night      | admin      | HR Officer   |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-17 | Night      | admin      | Receptionist |           1 |
| Γυναικολογική Κλινική                              | 2025-01-17 | Afternoon  | admin      | Accountant   |           1 |
| Γυναικολογική Κλινική                              | 2025-01-17 | Night      | admin      | HR Officer   |           1 |
| Γυναικολογική Κλινική                              | 2025-01-17 | Night      | admin      | IT Support   |           1 |
| Γυναικολογική Κλινική                              | 2025-01-17 | Night      | admin      | Logistics    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-17 | Afternoon  | admin      | HR Officer   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-17 | Afternoon  | admin      | Receptionist |           1 |
| Καρδιολογική Κλινική                               | 2025-01-17 | Afternoon  | nurse      | Assistant    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-17 | Afternoon  | nurse      | Head_Nurse   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-17 | Afternoon  | nurse      | Nurse        |           2 |
| Καρδιολογική Κλινική                               | 2025-01-17 | Morning    | admin      | Accountant   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-17 | Morning    | admin      | Logistics    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-17 | Morning    | admin      | Receptionist |           1 |
| Καρδιολογική Κλινική                               | 2025-01-17 | Morning    | nurse      | Assistant    |           3 |
| Καρδιολογική Κλινική                               | 2025-01-17 | Morning    | nurse      | Nurse        |           6 |
| Καρδιολογική Κλινική                               | 2025-01-17 | Night      | admin      | Accountant   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-17 | Night      | admin      | Receptionist |           1 |
| Καρδιολογική Κλινική                               | 2025-01-17 | Night      | nurse      | Assistant    |           2 |
| Μονάδα Εντατικής Θεραπείας                         | 2025-01-17 | Night      | admin      | IT Support   |           1 |
| Μονάδα Εντατικής Θεραπείας                         | 2025-01-17 | Night      | admin      | Receptionist |           1 |
| Μονάδα Εντατικής Θεραπείας                         | 2025-01-17 | Night      | admin      | Secretary    |           1 |
| Νευρολογική Κλινική                                | 2025-01-17 | Afternoon  | admin      | Logistics    |           1 |
| Νευρολογική Κλινική                                | 2025-01-17 | Afternoon  | admin      | Secretary    |           1 |
| Νευρολογική Κλινική                                | 2025-01-17 | Morning    | admin      | HR Officer   |           1 |
| Νευρολογική Κλινική                                | 2025-01-17 | Morning    | admin      | IT Support   |           1 |
| Νευρολογική Κλινική                                | 2025-01-17 | Night      | admin      | HR Officer   |           1 |
| Νευρολογική Κλινική                                | 2025-01-17 | Night      | admin      | Logistics    |           1 |
| Νευρολογική Κλινική                                | 2025-01-17 | Night      | admin      | Receptionist |           1 |
| Νεφρολογική Κλινική                                | 2025-01-17 | Afternoon  | admin      | Logistics    |           1 |
| Νεφρολογική Κλινική                                | 2025-01-17 | Afternoon  | admin      | Receptionist |           1 |
| Νεφρολογική Κλινική                                | 2025-01-17 | Night      | admin      | HR Officer   |           2 |
| Ογκολογική Κλινική                                 | 2025-01-17 | Afternoon  | admin      | IT Support   |           1 |
| Ογκολογική Κλινική                                 | 2025-01-17 | Afternoon  | admin      | Receptionist |           2 |
| Ογκολογική Κλινική                                 | 2025-01-17 | Morning    | admin      | IT Support   |           1 |
| Ογκολογική Κλινική                                 | 2025-01-17 | Morning    | admin      | Receptionist |           1 |
| Ογκολογική Κλινική                                 | 2025-01-17 | Night      | admin      | HR Officer   |           1 |
| Ογκολογική Κλινική                                 | 2025-01-17 | Night      | admin      | Logistics    |           1 |
| Ογκολογική Κλινική                                 | 2025-01-17 | Night      | admin      | Receptionist |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-17 | Afternoon  | admin      | Accountant   |           2 |
| Ορθοπεδική Κλινική                                 | 2025-01-17 | Morning    | admin      | HR Officer   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-17 | Morning    | admin      | Logistics    |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-17 | Night      | admin      | Accountant   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-17 | Night      | admin      | HR Officer   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-17 | Night      | admin      | Receptionist |           1 |
| Ουρολογική Κλινική                                 | 2025-01-17 | Afternoon  | admin      | HR Officer   |           1 |
| Ουρολογική Κλινική                                 | 2025-01-17 | Afternoon  | admin      | Secretary    |           1 |
| Ουρολογική Κλινική                                 | 2025-01-17 | Night      | admin      | HR Officer   |           1 |
| Ουρολογική Κλινική                                 | 2025-01-17 | Night      | admin      | IT Support   |           1 |
| Ουρολογική Κλινική                                 | 2025-01-17 | Night      | admin      | Logistics    |           1 |
| Παθολογική Κλινική                                 | 2025-01-17 | Afternoon  | admin      | Accountant   |           1 |
| Παθολογική Κλινική                                 | 2025-01-17 | Afternoon  | admin      | Receptionist |           1 |
| Παθολογική Κλινική                                 | 2025-01-17 | Morning    | admin      | Accountant   |           1 |
| Παθολογική Κλινική                                 | 2025-01-17 | Morning    | admin      | Logistics    |           2 |
| Παθολογική Κλινική                                 | 2025-01-17 | Night      | admin      | HR Officer   |           2 |
| Παθολογική Κλινική                                 | 2025-01-17 | Night      | admin      | IT Support   |           1 |
| Παιδιατρική Κλινική                                | 2025-01-17 | Night      | admin      | HR Officer   |           1 |
| Παιδιατρική Κλινική                                | 2025-01-17 | Night      | admin      | Logistics    |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-17 | Afternoon  | admin      | Logistics    |           2 |
| Πνευμονολογική Κλινική                             | 2025-01-17 | Afternoon  | admin      | Receptionist |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-17 | Morning    | admin      | HR Officer   |           2 |
| Πνευμονολογική Κλινική                             | 2025-01-17 | Morning    | admin      | Secretary    |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-17 | Night      | admin      | Accountant   |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-17 | Night      | admin      | IT Support   |           1 |
| Χειρουργική Κλινική                                | 2025-01-17 | Afternoon  | admin      | Accountant   |           1 |
| Χειρουργική Κλινική                                | 2025-01-17 | Afternoon  | admin      | IT Support   |           1 |
| Χειρουργική Κλινική                                | 2025-01-17 | Afternoon  | admin      | Logistics    |           1 |
| Χειρουργική Κλινική                                | 2025-01-17 | Morning    | admin      | HR Officer   |           1 |
| Χειρουργική Κλινική                                | 2025-01-17 | Morning    | admin      | IT Support   |           1 |
| Χειρουργική Κλινική                                | 2025-01-17 | Morning    | admin      | Receptionist |           1 |
| Χειρουργική Κλινική                                | 2025-01-17 | Night      | admin      | Accountant   |           1 |
| Χειρουργική Κλινική                                | 2025-01-17 | Night      | admin      | Secretary    |           1 |
| Ψυχιατρική Κλινική                                 | 2025-01-17 | Night      | admin      | Accountant   |           1 |
| Ψυχιατρική Κλινική                                 | 2025-01-17 | Night      | admin      | Logistics    |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-18 | Afternoon  | admin      | HR Officer   |           2 |
| Γαστρεντερολογική Κλινική                          | 2025-01-18 | Afternoon  | admin      | Receptionist |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-18 | Morning    | admin      | Receptionist |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-18 | Morning    | admin      | Secretary    |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-18 | Night      | admin      | IT Support   |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-18 | Night      | admin      | Logistics    |           1 |
| Γαστρεντερολογική Κλινική                          | 2025-01-18 | Night      | admin      | Receptionist |           1 |
| Γυναικολογική Κλινική                              | 2025-01-18 | Afternoon  | admin      | HR Officer   |           1 |
| Γυναικολογική Κλινική                              | 2025-01-18 | Afternoon  | admin      | Logistics    |           2 |
| Γυναικολογική Κλινική                              | 2025-01-18 | Night      | admin      | Accountant   |           2 |
| Γυναικολογική Κλινική                              | 2025-01-18 | Night      | admin      | Receptionist |           1 |
| Καρδιολογική Κλινική                               | 2025-01-18 | Afternoon  | admin      | HR Officer   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-18 | Afternoon  | admin      | IT Support   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-18 | Afternoon  | admin      | Receptionist |           1 |
| Καρδιολογική Κλινική                               | 2025-01-18 | Morning    | admin      | HR Officer   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-18 | Morning    | admin      | IT Support   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-18 | Morning    | admin      | Logistics    |           1 |
| Καρδιολογική Κλινική                               | 2025-01-18 | Morning    | nurse      | Nurse        |           1 |
| Καρδιολογική Κλινική                               | 2025-01-18 | Night      | admin      | HR Officer   |           1 |
| Καρδιολογική Κλινική                               | 2025-01-18 | Night      | admin      | Logistics    |           1 |
| Νευρολογική Κλινική                                | 2025-01-18 | Afternoon  | admin      | Receptionist |           2 |
| Νευρολογική Κλινική                                | 2025-01-18 | Morning    | admin      | Accountant   |           1 |
| Νευρολογική Κλινική                                | 2025-01-18 | Morning    | admin      | Logistics    |           1 |
| Νευρολογική Κλινική                                | 2025-01-18 | Night      | admin      | HR Officer   |           1 |
| Νευρολογική Κλινική                                | 2025-01-18 | Night      | admin      | IT Support   |           1 |
| Νεφρολογική Κλινική                                | 2025-01-18 | Afternoon  | admin      | IT Support   |           1 |
| Νεφρολογική Κλινική                                | 2025-01-18 | Afternoon  | admin      | Secretary    |           1 |
| Νεφρολογική Κλινική                                | 2025-01-18 | Night      | admin      | Accountant   |           1 |
| Νεφρολογική Κλινική                                | 2025-01-18 | Night      | admin      | Logistics    |           1 |
| Νεφρολογική Κλινική                                | 2025-01-18 | Night      | admin      | Secretary    |           1 |
| Ογκολογική Κλινική                                 | 2025-01-18 | Afternoon  | admin      | Accountant   |           1 |
| Ογκολογική Κλινική                                 | 2025-01-18 | Afternoon  | admin      | IT Support   |           1 |
| Ογκολογική Κλινική                                 | 2025-01-18 | Morning    | admin      | Accountant   |           1 |
| Ογκολογική Κλινική                                 | 2025-01-18 | Morning    | admin      | Receptionist |           1 |
| Ογκολογική Κλινική                                 | 2025-01-18 | Night      | admin      | Accountant   |           1 |
| Ογκολογική Κλινική                                 | 2025-01-18 | Night      | admin      | IT Support   |           1 |
| Ογκολογική Κλινική                                 | 2025-01-18 | Night      | admin      | Secretary    |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-18 | Afternoon  | admin      | Accountant   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-18 | Afternoon  | admin      | Logistics    |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-18 | Morning    | admin      | Accountant   |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-18 | Morning    | admin      | Receptionist |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-18 | Morning    | admin      | Secretary    |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-18 | Night      | admin      | Logistics    |           1 |
| Ορθοπεδική Κλινική                                 | 2025-01-18 | Night      | admin      | Receptionist |           1 |
| Ουρολογική Κλινική                                 | 2025-01-18 | Afternoon  | admin      | HR Officer   |           1 |
| Ουρολογική Κλινική                                 | 2025-01-18 | Afternoon  | admin      | Logistics    |           1 |
| Ουρολογική Κλινική                                 | 2025-01-18 | Night      | admin      | HR Officer   |           1 |
| Ουρολογική Κλινική                                 | 2025-01-18 | Night      | admin      | IT Support   |           1 |
| Ουρολογική Κλινική                                 | 2025-01-18 | Night      | admin      | Receptionist |           1 |
| Παθολογική Κλινική                                 | 2025-01-18 | Afternoon  | admin      | Accountant   |           1 |
| Παθολογική Κλινική                                 | 2025-01-18 | Afternoon  | admin      | HR Officer   |           1 |
| Παθολογική Κλινική                                 | 2025-01-18 | Morning    | admin      | Accountant   |           2 |
| Παθολογική Κλινική                                 | 2025-01-18 | Night      | admin      | Logistics    |           1 |
| Παθολογική Κλινική                                 | 2025-01-18 | Night      | admin      | Receptionist |           1 |
| Παιδιατρική Κλινική                                | 2025-01-18 | Afternoon  | admin      | Receptionist |           1 |
| Παιδιατρική Κλινική                                | 2025-01-18 | Night      | admin      | Accountant   |           2 |
| Πνευμονολογική Κλινική                             | 2025-01-18 | Afternoon  | admin      | Logistics    |           2 |
| Πνευμονολογική Κλινική                             | 2025-01-18 | Morning    | admin      | Accountant   |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-18 | Morning    | admin      | Logistics    |           1 |
| Πνευμονολογική Κλινική                             | 2025-01-18 | Night      | admin      | Accountant   |           1 |
